SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
QUARTER,Quarter (1-4)
MONTH,Month
DAY_OF_MONTH,Day of Month
MKT_UNIQUE_CARRIER,"Unique Marketing Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
OP_UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN,Origin Airport
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST,Destination Airport
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)"
ARR_DEL15,"Arrival Delay Indicator, 15 Minutes or More (1=Yes)"
CANCELLED,Cancelled Flight Indicator (1=Yes)
DIVERTED,Diverted Flight Indicator (1=Yes)
AIR_TIME,"Flight Time, in Minutes"
FLIGHTS,Number of Flights
